# generated from DICOM standard 2024c
# columns are in the same order as parameters to the DicomTag constructor
# eg. tag;name;varName;vr;isMultiVrTag;vmLow;vmHigh;isRetired
#
525347;Inventoried Studies Sequence;InventoriedStudiesSequence;SQ;False;1;1;False
525348;Inventoried Series Sequence;InventoriedSeriesSequence;SQ;False;1;1;False
525349;Inventoried Instances Sequence;InventoriedInstancesSequence;SQ;False;1;1;False
525350;Inventory Completion Status;InventoryCompletionStatus;CS;False;1;1;False
525351;Number of Study Records in Instance;NumberOfStudyRecordsInInstance;UL;False;1;1;False
525352;Total Number of Study Records;TotalNumberOfStudyRecords;UV;False;1;1;False
525353;Maximum Number of Records;MaximumNumberOfRecords;UV;False;1;1;False
528384;Network ID;NetworkID;AE;False;1;1;True
528400;Station Name;StationName;SH;False;1;1;False
528432;Study Description;StudyDescription;LO;False;1;1;False
528434;Procedure Code Sequence;ProcedureCodeSequence;SQ;False;1;1;False
528446;Series Description;SeriesDescription;LO;False;1;1;False
528447;Series Description Code Sequence;SeriesDescriptionCodeSequence;SQ;False;1;1;False
528448;Institutional Department Name;InstitutionalDepartmentName;LO;False;1;1;False
528449;Institutional Department Type Code Sequence;InstitutionalDepartmentTypeCodeSequence;SQ;False;1;1;False
528456;Physician(s) of Record;PhysiciansOfRecord;PN;False;1;4294967295;False
528457;Physician(s) of Record Identification Sequence;PhysiciansOfRecordIdentificationSequence;SQ;False;1;1;False
528464;Performing Physician's Name;PerformingPhysicianName;PN;False;1;4294967295;False
528466;Performing Physician Identification Sequence;PerformingPhysicianIdentificationSequence;SQ;False;1;1;False
528480;Name of Physician(s) Reading Study;NameOfPhysiciansReadingStudy;PN;False;1;4294967295;False
528482;Physician(s) Reading Study Identification Sequence;PhysiciansReadingStudyIdentificationSequence;SQ;False;1;1;False
528496;Operators' Name;OperatorsName;PN;False;1;4294967295;False
528498;Operator Identification Sequence;OperatorIdentificationSequence;SQ;False;1;1;False
528512;Admitting Diagnoses Description;AdmittingDiagnosesDescription;LO;False;1;4294967295;False
528516;Admitting Diagnoses Code Sequence;AdmittingDiagnosesCodeSequence;SQ;False;1;1;False
528520;Pyramid Description;PyramidDescription;LO;False;1;1;False
528528;Manufacturer's Model Name;ManufacturerModelName;LO;False;1;1;False
528640;Referenced Results Sequence;ReferencedResultsSequence;SQ;False;1;1;True
528656;Referenced Study Sequence;ReferencedStudySequence;SQ;False;1;1;False
528657;Referenced Performed Procedure Step Sequence;ReferencedPerformedProcedureStepSequence;SQ;False;1;1;False
528658;Referenced Instances by SOP Class Sequence;ReferencedInstancesBySOPClassSequence;SQ;False;1;1;False
528661;Referenced Series Sequence;ReferencedSeriesSequence;SQ;False;1;1;False
528672;Referenced Patient Sequence;ReferencedPatientSequence;SQ;False;1;1;False
528677;Referenced Visit Sequence;ReferencedVisitSequence;SQ;False;1;1;False
528688;Referenced Overlay Sequence;ReferencedOverlaySequence;SQ;False;1;1;True
528692;Referenced Stereometric Instance Sequence;ReferencedStereometricInstanceSequence;SQ;False;1;1;False
528698;Referenced Waveform Sequence;ReferencedWaveformSequence;SQ;False;1;1;False
528704;Referenced Image Sequence;ReferencedImageSequence;SQ;False;1;1;False
528709;Referenced Curve Sequence;ReferencedCurveSequence;SQ;False;1;1;True
528714;Referenced Instance Sequence;ReferencedInstanceSequence;SQ;False;1;1;False
528715;Referenced Real World Value Mapping Instance Sequence;ReferencedRealWorldValueMappingInstanceSequence;SQ;False;1;1;False
528720;Referenced SOP Class UID;ReferencedSOPClassUID;UI;False;1;1;False
528725;Referenced SOP Instance UID;ReferencedSOPInstanceUID;UI;False;1;1;False
528726;Definition Source Sequence;DefinitionSourceSequence;SQ;False;1;1;False
528730;SOP Classes Supported;SOPClassesSupported;UI;False;1;4294967295;False
528736;Referenced Frame Number;ReferencedFrameNumber;IS;False;1;4294967295;False
528737;Simple Frame List;SimpleFrameList;UL;False;1;4294967295;False
528738;Calculated Frame List;CalculatedFrameList;UL;False;3;4294967295;False
528739;Time Range;TimeRange;FD;False;2;2;False
528740;Frame Extraction Sequence;FrameExtractionSequence;SQ;False;1;1;False
528743;Multi-frame Source SOP Instance UID;MultiFrameSourceSOPInstanceUID;UI;False;1;1;False
528784;Retrieve URL;RetrieveURL;UR;False;1;1;False
528789;Transaction UID;TransactionUID;UI;False;1;1;False
528790;Warning Reason;WarningReason;US;False;1;1;False
528791;Failure Reason;FailureReason;US;False;1;1;False
528792;Failed SOP Sequence;FailedSOPSequence;SQ;False;1;1;False
528793;Referenced SOP Sequence;ReferencedSOPSequence;SQ;False;1;1;False
528794;Other Failures Sequence;OtherFailuresSequence;SQ;False;1;1;False
528795;Failed Study Sequence;FailedStudySequence;SQ;False;1;1;False
528896;Studies Containing Other Referenced Instances Sequence;StudiesContainingOtherReferencedInstancesSequence;SQ;False;1;1;False
528976;Related Series Sequence;RelatedSeriesSequence;SQ;False;1;1;False
532752;Lossy Image Compression (Retired);LossyImageCompressionRetired;CS;False;1;1;True
532753;Derivation Description;DerivationDescription;ST;False;1;1;False
532754;Source Image Sequence;SourceImageSequence;SQ;False;1;1;False
532768;Stage Name;StageName;SH;False;1;1;False
532770;Stage Number;StageNumber;IS;False;1;1;False
532772;Number of Stages;NumberOfStages;IS;False;1;1;False
532775;View Name;ViewName;SH;False;1;1;False
532776;View Number;ViewNumber;IS;False;1;1;False
532777;Number of Event Timers;NumberOfEventTimers;IS;False;1;1;False
532778;Number of Views in Stage;NumberOfViewsInStage;IS;False;1;1;False
532784;Event Elapsed Time(s);EventElapsedTimes;DS;False;1;4294967295;False
532786;Event Timer Name(s);EventTimerNames;LO;False;1;4294967295;False
532787;Event Timer Sequence;EventTimerSequence;SQ;False;1;1;False
532788;Event Time Offset;EventTimeOffset;FD;False;1;1;False
532789;Event Code Sequence;EventCodeSequence;SQ;False;1;1;False
532802;Start Trim;StartTrim;IS;False;1;1;False
532803;Stop Trim;StopTrim;IS;False;1;1;False
532804;Recommended Display Frame Rate;RecommendedDisplayFrameRate;IS;False;1;1;False
532992;Transducer Position;TransducerPosition;CS;False;1;1;True
532996;Transducer Orientation;TransducerOrientation;CS;False;1;1;True
533000;Anatomic Structure;AnatomicStructure;CS;False;1;1;True
533016;Anatomic Region Sequence;AnatomicRegionSequence;SQ;False;1;1;False
533024;Anatomic Region Modifier Sequence;AnatomicRegionModifierSequence;SQ;False;1;1;False
533032;Primary Anatomic Structure Sequence;PrimaryAnatomicStructureSequence;SQ;False;1;1;False
533033;Anatomic Structure, Space or Region Sequence;AnatomicStructureSpaceOrRegionSequence;SQ;False;1;1;True
533040;Primary Anatomic Structure Modifier Sequence;PrimaryAnatomicStructureModifierSequence;SQ;False;1;1;False
533056;Transducer Position Sequence;TransducerPositionSequence;SQ;False;1;1;True
533058;Transducer Position Modifier Sequence;TransducerPositionModifierSequence;SQ;False;1;1;True
533060;Transducer Orientation Sequence;TransducerOrientationSequence;SQ;False;1;1;True
533062;Transducer Orientation Modifier Sequence;TransducerOrientationModifierSequence;SQ;False;1;1;True
533073;Anatomic Structure Space Or Region Code Sequence (Trial);AnatomicStructureSpaceOrRegionCodeSequenceTrial;SQ;False;1;1;True
533075;Anatomic Portal Of Entrance Code Sequence (Trial);AnatomicPortalOfEntranceCodeSequenceTrial;SQ;False;1;1;True
533077;Anatomic Approach Direction Code Sequence (Trial);AnatomicApproachDirectionCodeSequenceTrial;SQ;False;1;1;True
533078;Anatomic Perspective Description (Trial);AnatomicPerspectiveDescriptionTrial;ST;False;1;1;True
533079;Anatomic Perspective Code Sequence (Trial);AnatomicPerspectiveCodeSequenceTrial;SQ;False;1;1;True
533080;Anatomic Location Of Examining Instrument Description (Trial);AnatomicLocationOfExaminingInstrumentDescriptionTrial;ST;False;1;1;True
533081;Anatomic Location Of Examining Instrument Code Sequence (Trial);AnatomicLocationOfExaminingInstrumentCodeSequenceTrial;SQ;False;1;1;True
533082;Anatomic Structure Space Or Region Modifier Code Sequence (Trial);AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial;SQ;False;1;1;True
